Amount Requested,Application Date,Loan Title,Risk_Score,Debt-To-Income Ratio,Zip Code,State,Employment Length,Policy Code
1000.0,2007-05-26,Wedding Covered but No Honeymoon,693.0,10%,481xx,NM,4 years,0.0
1000.0,2007-05-26,Consolidating Debt,703.0,10%,010xx,MA,< 1 year,0.0
11000.0,2007-05-27,Want to consolidate my debt,715.0,10%,212xx,MD,1 year,0.0
6000.0,2007-05-27,waksman,698.0,38.64%,017xx,MA,< 1 year,0.0
1500.0,2007-05-27,mdrigo,509.0,9.43%,209xx,MD,< 1 year,0.0
15000.0,2007-05-27,Trinfiniti,645.0,0%,105xx,NY,3 years,0.0
10000.0,2007-05-27,NOTIFYi Inc,693.0,10%,210xx,MD,< 1 year,0.0
3900.0,2007-05-27,For Justin.,700.0,10%,469xx,IN,2 years,0.0
3000.0,2007-05-28,title?,694.0,10%,808xx,CO,4 years,0.0
2500.0,2007-05-28,timgerst,573.0,11.76%,407xx,KY,4 years,0.0
3900.0,2007-05-28,need to consolidate,710.0,10%,705xx,LA,10+ years,0.0
1000.0,2007-05-28,sixstrings,680.0,10%,424xx,KY,1 year,0.0
3000.0,2007-05-28,bmoore5110,688.0,10%,190xx,PA,< 1 year,0.0
1500.0,2007-05-28,MHarkins,704.0,10%,189xx,PA,3 years,0.0
1000.0,2007-05-28,Moving,694.0,10%,354xx,AL,< 1 year,0.0
8000.0,2007-05-28,Recent College Grad Wants to Pay Off CCs,708.0,10%,374xx,TN,< 1 year,0.0
12000.0,2007-05-29,FoundersCafe.com,685.0,10%,770xx,TX,3 years,0.0
1000.0,2007-05-29,UChicago2004,698.0,10%,207xx,MD,3 years,0.0
15000.0,2007-05-29,Cancer is Killing My Credit,680.0,10%,432xx,OH,< 1 year,0.0
5000.0,2007-05-29,2006-2007 College Debt Loan,680.0,10%,011xx,MA,< 1 year,0.0
15000.0,2007-05-29,twbmc,712.0,10%,773xx,TX,< 1 year,0.0
5000.0,2007-05-29,Bills & Vacation,704.0,10%,212xx,MD,1 year,0.0
4950.0,2007-05-29,Vehicle Purchase/Used Auto,693.0,10%,220xx,VA,2 years,0.0
6100.0,2007-05-29,thejanman,684.0,24.69%,453xx,OH,2 years,0.0
12000.0,2007-05-29,Finish Off College,704.0,10%,462xx,IN,2 years,0.0
25000.0,2007-05-29,Phuocpnn,686.0,10%,631xx,MO,< 1 year,0.0
15000.0,2007-05-29,Established borrower consolodating debt,698.0,15.56%,559xx,MN,< 1 year,0.0
5000.0,2007-05-29,mainmanandy,719.0,10%,457xx,OH,< 1 year,0.0
10000.0,2007-05-30,Jaguar10301,602.0,2.25%,221xx,VA,< 1 year,0.0
10000.0,2007-05-30,rpinho78,475.0,21.77%,061xx,CT,< 1 year,0.0
1000.0,2007-05-30,ashtru,695.0,0%,443xx,OH,< 1 year,0.0
4000.0,2007-05-30,sparks,671.0,36.8%,630xx,MO,< 1 year,0.0
7000.0,2007-05-30,big fat lender,638.0,17.73%,941xx,CA,< 1 year,0.0
25000.0,2007-05-30,toeeeekne,671.0,4.5%,483xx,FL,2 years,0.0
1000.0,2007-05-30,stnthoma22,429.0,15.92%,462xx,IN,2 years,0.0
6500.0,2007-05-30,natbunn,632.0,12.98%,773xx,TX,< 1 year,0.0
2000.0,2007-05-30,SGearhart1381,579.0,32.64%,658xx,MO,< 1 year,0.0
15000.0,2007-05-30,2dozen,474.0,1.55%,453xx,OH,4 years,0.0
6000.0,2007-05-30,Good Heart Bad Credit!,463.0,12.34%,953xx,CA,1 year,0.0
2500.0,2007-05-31,mbcoon,593.0,18.43%,790xx,TX,1 year,0.0
12500.0,2007-05-31,boardwalk,578.0,31.82%,775xx,TX,9 years,0.0
3000.0,2007-05-31,danthe83,536.0,0%,551xx,MN,< 1 year,0.0
7500.0,2007-05-31,maryk2001,524.0,61.47%,316xx,GA,5 years,0.0
5000.0,2007-05-31,ppatti113,520.0,8.93%,024xx,MA,1 year,0.0
5000.0,2007-05-31,spidermonkey07,0.0,6%,448xx,OH,< 1 year,0.0
4000.0,2007-05-31,brock1jd,658.0,43.8%,480xx,MN,< 1 year,0.0
1000.0,2007-05-31,jprice1542,0.0,4.61%,373xx,TN,< 1 year,0.0
5000.0,2007-05-31,mashowar,492.0,15.73%,474xx,IN,4 years,0.0
1000.0,2007-05-31,jaynesweet,581.0,28.04%,681xx,NE,2 years,0.0
1000.0,2007-06-01,memorial,543.0,41.35%,328xx,FL,2 years,0.0
6025.0,2007-06-01,Fleurdetragedie,660.0,69.84%,301xx,GA,2 years,0.0
10000.0,2007-06-01,jfirson,503.0,61.07%,668xx,KS,1 year,0.0
3000.0,2007-06-01,cdc,556.0,20.91%,786xx,TX,1 year,0.0
10000.0,2007-06-01,katiemass,480.0,8.7%,452xx,OH,1 year,0.0
2100.0,2007-06-01,A clean sweep before buying a new house,684.0,10%,208xx,MD,1 year,0.0
5000.0,2007-06-01,kennysack,592.0,53.76%,477xx,IN,< 1 year,0.0
10000.0,2007-06-01,dreamerabove,600.0,3.84%,021xx,MA,< 1 year,0.0
1200.0,2007-06-01,jflack,524.0,0%,720xx,AR,4 years,0.0
4000.0,2007-06-01,ceodiva,460.0,0%,302xx,GA,< 1 year,0.0
15000.0,2007-06-01,joelforeman,654.0,27.48%,328xx,FL,2 years,0.0
1000.0,2007-06-01,auburnmk23,486.0,12.4%,368xx,AL,< 1 year,0.0
2500.0,2007-06-01,Scott Stowe,520.0,13.1%,460xx,IN,1 year,0.0
5000.0,2007-06-01,iamheatherleigh,0.0,0%,405xx,KY,5 years,0.0
2500.0,2007-06-01,Paying for college,547.0,29.16%,331xx,FL,< 1 year,0.0
1000.0,2007-06-01,alivrum,454.0,7.68%,434xx,OH,< 1 year,0.0
5000.0,2007-06-02,wbnd44,509.0,20%,436xx,OH,1 year,0.0
5000.0,2007-06-02,skyydogg,0.0,0%,535xx,WI,1 year,0.0
1500.0,2007-06-02,Svengar7,665.0,0%,191xx,PA,< 1 year,0.0
